chembl_id,molecule_name,former_binary_label,former_partition,v1_3_decision,evidence_status,total_inverse_flag_rows,primary_functional_rows,review_derived_functional_rows,binding_annotation_rows,activity_ids,assay_ids,document_ids,primary_source_dois,review_source_dois,required_action
CHEMBL113,CAFFEINE,antagonist,provisional_development,quarantine_excluded_function,binding_only_inverse_annotation_requires_review,1,0,0,1,6284534,CHEMBL1803542,CHEMBL1800001,10.1021/jm2003798,,Locate candidate-linked human A2A functional evidence before assigning inverse agonism; retain in quarantine meanwhile
CHEMBL113142,ZM-241385,antagonist,provisional_development,quarantine_excluded_function,primary_functional_inverse_agonist_evidence,6,4,1,1,6284530|16853858|16853867|18433941|18434021|24772347,CHEMBL1803542|CHEMBL3878908|CHEMBL3878909|CHEMBL4156075|CHEMBL5126827,CHEMBL1800001|CHEMBL3877301|CHEMBL4152311|CHEMBL5126505,10.1021/acs.jmedchem.6b01068|10.1016/j.ejmech.2018.06.020,10.1016/j.ejmech.2021.113907,Keep outside the binary agonist-versus-antagonist endpoint; consider a separate inverse-agonist endpoint in v1.5
CHEMBL240624,PRELADENANT,antagonist,provisional_development,quarantine_excluded_function,binding_only_inverse_annotation_requires_review,1,0,0,1,6284531,CHEMBL1803542,CHEMBL1800001,10.1021/jm2003798,,Locate candidate-linked human A2A functional evidence before assigning inverse agonism; retain in quarantine meanwhile
CHEMBL273094,XANTHINE AMINE CONGENER,antagonist,provisional_development,quarantine_excluded_function,binding_only_inverse_annotation_requires_review,1,0,0,1,6284533,CHEMBL1803542,CHEMBL1800001,10.1021/jm2003798,,Locate candidate-linked human A2A functional evidence before assigning inverse agonism; retain in quarantine meanwhile
CHEMBL3904408,CHEMBL3904408,antagonist,provisional_development,quarantine_excluded_function,primary_functional_inverse_agonist_evidence,4,2,2,0,16853856|16853865|24772349|24772351,CHEMBL3878908|CHEMBL3878909|CHEMBL5126827|CHEMBL5126828,CHEMBL3877301|CHEMBL5126505,10.1021/acs.jmedchem.6b01068,10.1016/j.ejmech.2021.113907,Keep outside the binary agonist-versus-antagonist endpoint; consider a separate inverse-agonist endpoint in v1.5
CHEMBL4125975,CHEMBL4125975,antagonist,provisional_development,quarantine_excluded_function,primary_functional_inverse_agonist_evidence,2,2,0,0,18301011|18301015,CHEMBL4124841|CHEMBL4124842,CHEMBL4118252,10.1016/j.bmc.2018.05.048,,Keep outside the binary agonist-versus-antagonist endpoint; consider a separate inverse-agonist endpoint in v1.5
CHEMBL4126427,CHEMBL4126427,antagonist,provisional_locked_holdout,quarantine_excluded_function,primary_functional_inverse_agonist_evidence,2,2,0,0,18301012|18301016,CHEMBL4124841|CHEMBL4124842,CHEMBL4118252,10.1016/j.bmc.2018.05.048,,Keep outside the binary agonist-versus-antagonist endpoint; consider a separate inverse-agonist endpoint in v1.5
CHEMBL4127213,CHEMBL4127213,antagonist,provisional_development,quarantine_excluded_function,primary_functional_inverse_agonist_evidence,2,2,0,0,18301009|18301013,CHEMBL4124841|CHEMBL4124842,CHEMBL4118252,10.1016/j.bmc.2018.05.048,,Keep outside the binary agonist-versus-antagonist endpoint; consider a separate inverse-agonist endpoint in v1.5
CHEMBL4159215,CHEMBL4159215,antagonist,provisional_locked_holdout,quarantine_excluded_function,primary_functional_inverse_agonist_evidence,2,2,0,0,18433945|18434025,CHEMBL4156075,CHEMBL4152311,10.1016/j.ejmech.2018.06.020,,Keep outside the binary agonist-versus-antagonist endpoint; consider a separate inverse-agonist endpoint in v1.5
CHEMBL4167557,CHEMBL4167557,antagonist,provisional_locked_holdout,quarantine_excluded_function,primary_functional_inverse_agonist_evidence,2,2,0,0,18433950|18434030,CHEMBL4156075,CHEMBL4152311,10.1016/j.ejmech.2018.06.020,,Keep outside the binary agonist-versus-antagonist endpoint; consider a separate inverse-agonist endpoint in v1.5
CHEMBL431770,ISTRADEFYLLINE,antagonist,provisional_development,quarantine_excluded_function,binding_only_inverse_annotation_requires_review,1,0,0,1,6284532,CHEMBL1803542,CHEMBL1800001,10.1021/jm2003798,,Locate candidate-linked human A2A functional evidence before assigning inverse agonism; retain in quarantine meanwhile
