chembl_id,molecule_name,curation_batch,proposed_class,decision,functional_class,primary_binary_label,evidence_tier,dataset_admission_eligible,primary_analysis_eligible,training_eligible,curation_mode,decision_engine,human_validation_claimed,human_approval_required,decision_rationale,functional_activity_rows,qualifying_activity_rows,representative_activity_id,representative_assay_id,representative_document_id,representative_source_url,representative_evidence_passage,audited_at_utc,ruleset_version
CHEMBL113142,ZM-241385,1,antagonist,quarantine_excluded_function,unknown,,,False,False,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,Raw ChEMBL evidence contains endpoint-excluded functional class(es) ['inverse_agonist']; the record cannot enter the binary agonist-versus-antagonist endpoint.,9,9,13300508,CHEMBL2384072,CHEMBL2380258,https://doi.org/10.1016/j.bmcl.2013.03.070,Antagonist activity at recombinant human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP production after 60 mins,2026-09-10T12:57:45.680015+00:00,a2a-computational-curation-v1.3
CHEMBL477,ADENOSINE,1,agonist,accept_agonist,agonist,1,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,3 qualifying activity row(s) link an explicit human A2A functional agonist direction to 2 traceable primary publication(s).,5,5,3352047,CHEMBL1175311,CHEMBL1177799,https://doi.org/10.1016/j.bmcl.2010.05.056,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as increase of intracellular calcium level,2026-09-10T12:57:45.680238+00:00,a2a-computational-curation-v1.3
CHEMBL4297184,CIFORADENANT,1,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,8 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 3 traceable primary publication(s).,8,8,22757002,CHEMBL4701023,CHEMBL4699449,https://doi.org/10.1021/acs.jmedchem.0c00237,Antagonist activity at human adenosine 2A receptor expressed in HEK293 cells assessed as inhibition of NECA-induced cAMP by immunoassay,2026-09-10T12:57:45.680401+00:00,a2a-computational-curation-v1.3
CHEMBL5203469,CHEMBL5203469,1,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,5 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 2 traceable primary publication(s).,5,5,24783522,CHEMBL5130200,CHEMBL5126612,https://doi.org/10.1021/acs.jmedchem.2c00462,Antagonist activity at wild type human A2AAR expressed in CHO cells assessed as inhibition of CGS21680-induced cAMP accumulation preincubated for 20 mins followed by CGS21680 addition and measured after 20 mins by by alpha screen assay,2026-09-10T12:57:45.680515+00:00,a2a-computational-curation-v1.3
CHEMBL4104819,CHEMBL4104819,1,agonist,accept_agonist,agonist,1,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,4 qualifying activity row(s) link an explicit human A2A functional agonist direction to 2 traceable primary publication(s).,4,4,18224815,CHEMBL4048590,CHEMBL4043287,https://doi.org/10.1021/acs.jmedchem.8b00047,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,2026-09-10T12:57:45.680603+00:00,a2a-computational-curation-v1.3
CHEMBL3414940,CHEMBL3414940,1,agonist,accept_agonist,agonist,1,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,4 qualifying activity row(s) link an explicit human A2A functional agonist direction to 2 traceable primary publication(s).,4,4,15208847,CHEMBL3420494,CHEMBL3414438,https://doi.org/10.1021/acs.jmedchem.5b00074,Agonist activity at human recombinant adenosine A2A receptor transfected in CHO cells assessed as induction of adenylyl cyclase activity,2026-09-10T12:57:45.680699+00:00,a2a-computational-curation-v1.3
CHEMBL3414941,CHEMBL3414941,1,agonist,accept_agonist,agonist,1,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,4 qualifying activity row(s) link an explicit human A2A functional agonist direction to 2 traceable primary publication(s).,4,4,15208848,CHEMBL3420494,CHEMBL3414438,https://doi.org/10.1021/acs.jmedchem.5b00074,Agonist activity at human recombinant adenosine A2A receptor transfected in CHO cells assessed as induction of adenylyl cyclase activity,2026-09-10T12:57:45.680791+00:00,a2a-computational-curation-v1.3
CHEMBL186113,GW-328267,1,agonist,needs_full_text,unknown,,,False,False,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,"Functional evidence passed target/context checks, but no qualifying primary publication was established.",3,3,12139290,CHEMBL2187058,CHEMBL2177029,https://doi.org/10.1021/jm300087j,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as induction of cyclic AMP production,2026-09-10T12:57:45.680835+00:00,a2a-computational-curation-v1.3
CHEMBL1087189,CHEMBL1087189,1,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,1 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,12084390,CHEMBL2167687,CHEMBL2163234,https://doi.org/10.1021/jm201640m,Antagonist activity at human Adenosine receptor A2a assessed as inhibition of cAMP production,2026-09-10T12:57:45.680864+00:00,a2a-computational-curation-v1.3
CHEMBL1095488,CHEMBL1095488,1,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,1 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,12084381,CHEMBL2167687,CHEMBL2163234,https://doi.org/10.1021/jm201640m,Antagonist activity at human Adenosine receptor A2a assessed as inhibition of cAMP production,2026-09-10T12:57:45.680893+00:00,a2a-computational-curation-v1.3
CHEMBL17127,SCH-58261,1,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,2 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 2 traceable primary publication(s).,2,2,3243758,CHEMBL1105453,CHEMBL1156165,https://doi.org/10.1016/j.bmc.2010.02.048,Antagonist activity at human adenosine A2A receptor expressed in HEK293 cells assessed as inhibition of NECA-induced intracellular cAMP accumulation at 100 nM after 24 hrs (Rvb= 0.40 pmol/ml),2026-09-10T12:57:45.680938+00:00,a2a-computational-curation-v1.3
CHEMBL197669,ST1535,1,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,2 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 2 traceable primary publication(s).,2,2,13300521,CHEMBL2384073,CHEMBL2380258,https://doi.org/10.1016/j.bmcl.2013.03.070,Antagonist activity at human adenosine A2A receptor assessed as cAMP level by cell based assay,2026-09-10T12:57:45.680980+00:00,a2a-computational-curation-v1.3
